date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:35	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:35%20GMT	http://localhost/wordpress/2016/09/26/3-years-using-gentoo-linux/	/home/amulet/websites/backup/localhost/wordpress/2016/09/26/3-years-using-gentoo-linux/index.html	(from http://localhost/wordpress/)
00:40:35	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:35%20GMT	http://localhost/wordpress/category/gentoo/	/home/amulet/websites/backup/localhost/wordpress/category/gentoo/index.html	(from http://localhost/wordpress/)
00:40:36	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:35%20GMT	http://localhost/wordpress/2016/07/30/i-donated-everything-to-linux-mint-although-i-use-gentoo/	/home/amulet/websites/backup/localhost/wordpress/2016/07/30/i-donated-everything-to-linux-mint-although-i-use-gentoo/index.html	(from http://localhost/wordpress/)
00:40:39	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-53c94b6028c80%22	http://localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.eot	/home/amulet/websites/backup/localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.eot	(from http://localhost/wordpress/wp-content/themes/beetle/css/genericons/genericons.css?ver=3.4.1)
00:40:39	77517/77517	---M--	200	added ('OK')	image/svg+xml	etag:%2212ecd-53c94b6028c80%22	http://localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.svg	/home/amulet/websites/backup/localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.svg	(from http://localhost/wordpress/wp-content/themes/beetle/css/genericons/genericons.css?ver=3.4.1)
00:40:41	22188/22188	---M--	200	added ('OK')	application/x-font-ttf	etag:%2256ac-53c94b6028c80%22	http://localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.ttf	/home/amulet/websites/backup/localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.ttf	(from http://localhost/wordpress/wp-content/themes/beetle/css/genericons/genericons.css?ver=3.4.1)
00:40:41	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:39%20GMT	http://localhost/wordpress/category/uncategorized/	/home/amulet/websites/backup/localhost/wordpress/category/uncategorized/index.html	(from http://localhost/wordpress/)
00:40:41	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:41%20GMT	http://localhost/wordpress/2016/07/30/fix-history-with-repeated-commands/	/home/amulet/websites/backup/localhost/wordpress/2016/07/30/fix-history-with-repeated-commands/index.html	(from http://localhost/wordpress/)
00:40:41	212133/212133	---M--	200	added ('OK')	image/png	etag:%2233ca5-53dc64478e1a6%22	http://localhost/wordpress/wp-content/uploads/2016/09/testo-350x280.png	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/09/testo-350x280.png	(from http://localhost/wordpress/)
00:40:41	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:41%20GMT	http://localhost/wordpress/category/bash/	/home/amulet/websites/backup/localhost/wordpress/category/bash/index.html	(from http://localhost/wordpress/)
00:40:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:41%20GMT	http://localhost/wordpress/2016/07/30/nice-desktops-minimal/	/home/amulet/websites/backup/localhost/wordpress/2016/07/30/nice-desktops-minimal/index.html	(from http://localhost/wordpress/)
00:40:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:41%20GMT	http://localhost/wordpress/2016/07/30/gentoo-netbook-kde/	/home/amulet/websites/backup/localhost/wordpress/2016/07/30/gentoo-netbook-kde/index.html	(from http://localhost/wordpress/)
